Camera.ID,Date,Species,Number,Week,Survey
194A,10/30/2022,White-tailed Deer,1,45,1
195A,10/30/2022,White-tailed Deer,1,45,1
219A,10/30/2022,White-tailed Deer,1,45,1
219A,10/30/2022,White-tailed Deer,1,45,1
219A,10/30/2022,White-tailed Deer,1,45,1
222A,10/30/2022,White-tailed Deer,1,45,1
27A,10/30/2022,White-tailed Deer,1,45,1
27A,10/30/2022,White-tailed Deer,1,45,1
71A,10/30/2022,White-tailed Deer,1,45,1
71A,10/30/2022,White-tailed Deer,1,45,1
92A,10/30/2022,White-tailed Deer,1,45,1
15A,10/31/2022,Coyote,1,45,1
18A,10/31/2022,Gray Squirrel,1,45,1
198A,10/31/2022,White-tailed Deer,1,45,1
199A,10/31/2022,Cottontail,1,45,1
199A,10/31/2022,White-tailed Deer,1,45,1
1A,10/31/2022,White-tailed Deer,1,45,1
202A,10/31/2022,Gray Squirrel,1,45,1
202A,10/31/2022,White-tailed Deer,1,45,1
202A,10/31/2022,White-tailed Deer,1,45,1
204A,10/31/2022,White-tailed Deer,1,45,1
204A,10/31/2022,White-tailed Deer,1,45,1
206A,10/31/2022,White-tailed Deer,1,45,1
210A,10/31/2022,White-tailed Deer,1,45,1
210A,10/31/2022,White-tailed Deer,1,45,1
210A,10/31/2022,White-tailed Deer,1,45,1
214A,10/31/2022,White-tailed Deer,1,45,1
214A,10/31/2022,White-tailed Deer,1,45,1
214A,10/31/2022,White-tailed Deer,1,45,1
214A,10/31/2022,White-tailed Deer,1,45,1
214A,10/31/2022,White-tailed Deer,1,45,1
219A,10/31/2022,White-tailed Deer,1,45,1
219A,10/31/2022,White-tailed Deer,1,45,1
227A,10/31/2022,White-tailed Deer,1,45,1
27A,10/31/2022,White-tailed Deer,1,45,1
27A,10/31/2022,Gray Squirrel,1,45,1
27A,10/31/2022,Gray Squirrel,1,45,1
39A,10/31/2022,Gray Squirrel,1,45,1
39A,10/31/2022,Gray Squirrel,1,45,1
55A,10/31/2022,Bird,1,45,1
55A,10/31/2022,Bird,7,45,1
64A,10/31/2022,White-tailed Deer,1,45,1
64A,10/31/2022,Gray Squirrel,1,45,1
71A,10/31/2022,White-tailed Deer,1,45,1
85A,10/31/2022,White-tailed Deer,1,45,1
85A,10/31/2022,White-tailed Deer,1,45,1
85A,10/31/2022,White-tailed Deer,1,45,1
85A,10/31/2022,White-tailed Deer,1,45,1
85A,10/31/2022,Raccoon,1,45,1
85A,10/31/2022,White-tailed Deer,1,45,1
88A,10/31/2022,White-tailed Deer,1,45,1
88A,10/31/2022,Raccoon,1,45,1
8A,10/31/2022,Gray Squirrel,1,45,1
8A,10/31/2022,Gray Squirrel,1,45,1
30B,10/31/2022,Gray Squirrel,1,45,1
34D,10/31/2022,Gray Squirrel,1,45,1
34D,10/31/2022,Gray Squirrel,1,45,1
34D,10/31/2022,Armadillo,1,45,1
49B,10/31/2022,White-tailed Deer,1,45,1
49B,10/31/2022,Armadillo,1,45,1
15A,11/1/2022,White-tailed Deer,1,45,1
15A,11/1/2022,White-tailed Deer,1,45,1
15A,11/1/2022,White-tailed Deer,1,45,1
15A,11/1/2022,Gray Squirrel,1,45,1
15A,11/1/2022,Gray Squirrel,1,45,1
15A,11/1/2022,Coyote,1,45,1
15A,11/1/2022,Coyote,1,45,1
194A,11/1/2022,White-tailed Deer,1,45,1
195A,11/1/2022,Other,1,45,1
1A,11/1/2022,White-tailed Deer,1,45,1
1A,11/1/2022,White-tailed Deer,1,45,1
1A,11/1/2022,White-tailed Deer,1,45,1
204A,11/1/2022,White-tailed Deer,1,45,1
209A,11/1/2022,White-tailed Deer,1,45,1
209A,11/1/2022,White-tailed Deer,1,45,1
209A,11/1/2022,White-tailed Deer,1,45,1
209A,11/1/2022,Gray Squirrel,1,45,1
209A,11/1/2022,Gray Squirrel,1,45,1
209A,11/1/2022,White-tailed Deer,1,45,1
209A,11/1/2022,White-tailed Deer,1,45,1
20A,11/1/2022,White-tailed Deer,1,45,1
20A,11/1/2022,White-tailed Deer,1,45,1
20A,11/1/2022,White-tailed Deer,1,45,1
219A,11/1/2022,White-tailed Deer,1,45,1
5A,11/1/2022,White-tailed Deer,1,45,1
64A,11/1/2022,White-tailed Deer,1,45,1
71A,11/1/2022,Armadillo,1,45,1
85A,11/1/2022,White-tailed Deer,1,45,1
85A,11/1/2022,Armadillo,1,45,1
85A,11/1/2022,Gray Squirrel,1,45,1
88A,11/1/2022,Gray Squirrel,1,45,1
8A,11/1/2022,White-tailed Deer,1,45,1
92A,11/1/2022,White-tailed Deer,1,45,1
21B,11/1/2022,White-tailed Deer,1,45,1
21B,11/1/2022,White-tailed Deer,1,45,1
30B,11/1/2022,Gray Squirrel,1,45,1
34D,11/1/2022,White-tailed Deer,1,45,1
34D,11/1/2022,Gray Squirrel,1,45,1
34D,11/1/2022,Gray Squirrel,1,45,1
34D,11/1/2022,White-tailed Deer,1,45,1
36B,11/1/2022,White-tailed Deer,1,45,1
36B,11/1/2022,Gray Squirrel,1,45,1
67B,11/1/2022,White-tailed Deer,1,45,1
73B,11/1/2022,White-tailed Deer,1,45,1
73B,11/1/2022,Gray Squirrel,1,45,1
15A,11/2/2022,Coyote,1,45,1
15A,11/2/2022,White-tailed Deer,1,45,1
15A,11/2/2022,White-tailed Deer,1,45,1
15A,11/2/2022,White-tailed Deer,1,45,1
15A,11/2/2022,White-tailed Deer,1,45,1
15A,11/2/2022,Gray Squirrel,1,45,1
15A,11/2/2022,White-tailed Deer,1,45,1
15A,11/2/2022,White-tailed Deer,1,45,1
198A,11/2/2022,Gray Squirrel,1,45,1
1A,11/2/2022,Armadillo,1,45,1
1A,11/2/2022,White-tailed Deer,1,45,1
1A,11/2/2022,Raccoon,1,45,1
1A,11/2/2022,Raccoon,1,45,1
204A,11/2/2022,White-tailed Deer,1,45,1
204A,11/2/2022,White-tailed Deer,1,45,1
209A,11/2/2022,White-tailed Deer,1,45,1
20A,11/2/2022,White-tailed Deer,1,45,1
210A,11/2/2022,White-tailed Deer,1,45,1
27A,11/2/2022,White-tailed Deer,1,45,1
64A,11/2/2022,Gray Squirrel,1,45,1
71A,11/2/2022,White-tailed Deer,1,45,1
71A,11/2/2022,Armadillo,1,45,1
85A,11/2/2022,White-tailed Deer,1,45,1
85A,11/2/2022,Gray Squirrel,1,45,1
85A,11/2/2022,Gray Squirrel,1,45,1
88A,11/2/2022,Wild Hog,1,45,1
92A,11/2/2022,White-tailed Deer,1,45,1
21B,11/2/2022,Gray Squirrel,1,45,1
30B,11/2/2022,Gray Squirrel,1,45,1
34D,11/2/2022,White-tailed Deer,1,45,1
34D,11/2/2022,White-tailed Deer,1,45,1
36B,11/2/2022,Raccoon,1,45,1
36B,11/2/2022,Raccoon,1,45,1
45B,11/2/2022,Gray Squirrel,1,45,1
45B,11/2/2022,White-tailed Deer,1,45,1
67B,11/2/2022,White-tailed Deer,1,45,1
67B,11/2/2022,White-tailed Deer,1,45,1
73B,11/2/2022,Armadillo,1,45,1
82B,11/2/2022,White-tailed Deer,1,45,1
82B,11/2/2022,White-tailed Deer,1,45,1
15A,11/3/2022,White-tailed Deer,1,45,1
15A,11/3/2022,Gray Squirrel,1,45,1
15A,11/3/2022,White-tailed Deer,1,45,1
15A,11/3/2022,Gray Squirrel,1,45,1
15A,11/3/2022,White-tailed Deer,1,45,1
1A,11/3/2022,White-tailed Deer,1,45,1
202A,11/3/2022,Gray Squirrel,1,45,1
209A,11/3/2022,White-tailed Deer,1,45,1
219A,11/3/2022,White-tailed Deer,1,45,1
27A,11/3/2022,White-tailed Deer,1,45,1
53A,11/3/2022,Raccoon,1,45,1
64A,11/3/2022,Gray Squirrel,1,45,1
71A,11/3/2022,White-tailed Deer,1,45,1
85A,11/3/2022,White-tailed Deer,1,45,1
88A,11/3/2022,Armadillo,1,45,1
88A,11/3/2022,White-tailed Deer,1,45,1
88A,11/3/2022,White-tailed Deer,1,45,1
8A,11/3/2022,White-tailed Deer,1,45,1
8A,11/3/2022,White-tailed Deer,1,45,1
90A,11/3/2022,White-tailed Deer,1,45,1
92A,11/3/2022,White-tailed Deer,1,45,1
92A,11/3/2022,White-tailed Deer,1,45,1
21B,11/3/2022,White-tailed Deer,1,45,1
30B,11/3/2022,Gray Squirrel,1,45,1
30B,11/3/2022,Gray Squirrel,1,45,1
34D,11/3/2022,Gray Squirrel,1,45,1
34D,11/3/2022,Gray Squirrel,1,45,1
36B,11/3/2022,White-tailed Deer,1,45,1
36B,11/3/2022,White-tailed Deer,1,45,1
36B,11/3/2022,White-tailed Deer,1,45,1
49B,11/3/2022,Gray Squirrel,1,45,1
67B,11/3/2022,White-tailed Deer,1,45,1
73B,11/3/2022,White-tailed Deer,1,45,1
82B,11/3/2022,White-tailed Deer,1,45,1
Grandview2_CL_1_Cam_4,11/3/2022,Fox Squirrel,1,45,1
Grandview2_CL_1_Cam_4,11/3/2022,Fox Squirrel,1,45,1
Grandview2_CL_1_Cam_4,11/3/2022,Fox Squirrel,1,45,1
Grandview2_CL_1_Cam_4,11/3/2022,Fox Squirrel,1,45,1
Grandview2_CL_1_Cam_4,11/3/2022,Fox Squirrel,1,45,1
15A,11/4/2022,Coyote,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
15A,11/4/2022,White-tailed Deer,1,45,1
195A,11/4/2022,White-tailed Deer,1,45,1
195A,11/4/2022,White-tailed Deer,1,45,1
198A,11/4/2022,White-tailed Deer,1,45,1
1A,11/4/2022,Raccoon,1,45,1
206A,11/4/2022,White-tailed Deer,1,45,1
206A,11/4/2022,White-tailed Deer,1,45,1
206A,11/4/2022,White-tailed Deer,1,45,1
209A,11/4/2022,Grey Fox,1,45,1
210A,11/4/2022,White-tailed Deer,1,45,1
214A,11/4/2022,White-tailed Deer,1,45,1
219A,11/4/2022,Bird,1,45,1
219A,11/4/2022,Bird,1,45,1
219A,11/4/2022,White-tailed Deer,1,45,1
219A,11/4/2022,White-tailed Deer,1,45,1
227A,11/4/2022,White-tailed Deer,1,45,1
27A,11/4/2022,White-tailed Deer,1,45,1
53A,11/4/2022,White-tailed Deer,1,45,1
71A,11/4/2022,White-tailed Deer,1,45,1
85A,11/4/2022,Raccoon,1,45,1
85A,11/4/2022,Raccoon,1,45,1
85A,11/4/2022,Raccoon,1,45,1
85A,11/4/2022,White-tailed Deer,1,45,1
85A,11/4/2022,Raccoon,1,45,1
85A,11/4/2022,White-tailed Deer,1,45,1
88A,11/4/2022,White-tailed Deer,1,45,1
8A,11/4/2022,White-tailed Deer,1,45,1
8A,11/4/2022,White-tailed Deer,1,45,1
8A,11/4/2022,White-tailed Deer,1,45,1
21B,11/4/2022,Gray Squirrel,1,45,1
34D,11/4/2022,Gray Squirrel,1,45,1
36B,11/4/2022,White-tailed Deer,1,45,1
67B,11/4/2022,White-tailed Deer,1,45,1
67B,11/4/2022,White-tailed Deer,1,45,1
73B,11/4/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_15,11/4/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_15,11/4/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_3,11/4/2022,Person,1,45,1
Grandview2_CL_1_Cam_3,11/4/2022,Raccoon,1,45,1
Grandview2_CL_1_Cam_3,11/4/2022,Person,1,45,1
Grandview2_CL_1_Cam_3,11/4/2022,Raccoon,1,45,1
Grandview2_CL_1_Cam_4,11/4/2022,Bobcat,1,45,1
Grandview2_CL_1_Cam_7,11/4/2022,Raccoon,2,45,1
Grandview2_CL_1_Cam_8,11/4/2022,Cottontail,1,45,1
Grandview2_CL_1_Cam_8,11/4/2022,Cottontail,1,45,1
194A,11/5/2022,Gray Squirrel,1,45,1
194A,11/5/2022,Gray Squirrel,1,45,1
198A,11/5/2022,Gray Squirrel,1,45,1
198A,11/5/2022,Gray Squirrel,1,45,1
202A,11/5/2022,White-tailed Deer,1,45,1
202A,11/5/2022,White-tailed Deer,1,45,1
202A,11/5/2022,White-tailed Deer,1,45,1
20A,11/5/2022,White-tailed Deer,1,45,1
219A,11/5/2022,White-tailed Deer,1,45,1
27A,11/5/2022,Gray Squirrel,1,45,1
64A,11/5/2022,White-tailed Deer,1,45,1
85A,11/5/2022,White-tailed Deer,1,45,1
85A,11/5/2022,White-tailed Deer,1,45,1
85A,11/5/2022,Raccoon,1,45,1
85A,11/5/2022,White-tailed Deer,1,45,1
85A,11/5/2022,Gray Squirrel,1,45,1
85A,11/5/2022,Raccoon,1,45,1
30B,11/5/2022,Gray Squirrel,1,45,1
30B,11/5/2022,Gray Squirrel,1,45,1
34D,11/5/2022,Gray Squirrel,1,45,1
34D,11/5/2022,Gray Squirrel,1,45,1
34D,11/5/2022,Gray Squirrel,1,45,1
36B,11/5/2022,White-tailed Deer,1,45,1
45B,11/5/2022,White-tailed Deer,1,45,1
49B,11/5/2022,White-tailed Deer,1,45,1
49B,11/5/2022,Coyote,1,45,1
67B,11/5/2022,White-tailed Deer,1,45,1
73B,11/5/2022,Gray Squirrel,1,45,1
74B,11/5/2022,White-tailed Deer,1,45,1
Grandview2_CL_1_Cam_11,11/5/2022,White-tailed Deer,1,45,1
Grandview2_CL_1_Cam_11,11/5/2022,Opossum,1,45,1
Grandview2_CL_1_Cam_12,11/5/2022,White-tailed Deer,1,45,1
Grandview2_CL_1_Cam_12,11/5/2022,White-tailed Deer,1,45,1
Grandview2_CL_1_Cam_14,11/5/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_15,11/5/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_1,11/5/2022,Opossum,1,45,1
Grandview2_CL_1_Cam_1,11/5/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_1,11/5/2022,Gray Squirrel,1,45,1
Grandview2_CL_1_Cam_3,11/5/2022,Opossum,1,45,1
Grandview2_CL_1_Cam_3,11/5/2022,Cottontail,1,45,1
Grandview2_CL_1_Cam_4,11/5/2022,White-tailed Deer,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Opossum,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
Grandview2_CL_1_Cam_8,11/5/2022,Rat,1,45,1
