"","Camera.ID","Date","Species","Number"
"1","15A","10/31/2022","Coyote",1
"2","15A","11/1/2022","White-tailed Deer",1
"3","15A","11/1/2022","White-tailed Deer",1
"4","15A","11/1/2022","White-tailed Deer",1
"5","15A","11/1/2022","Gray Squirrel",1
"6","15A","11/1/2022","Gray Squirrel",1
"7","15A","11/1/2022","Coyote",1
"8","15A","11/1/2022","Coyote",1
"9","15A","11/2/2022","Coyote",1
"10","15A","11/2/2022","White-tailed Deer",1
"11","15A","11/2/2022","White-tailed Deer",1
"12","15A","11/2/2022","White-tailed Deer",1
"13","15A","11/2/2022","White-tailed Deer",1
"14","15A","11/2/2022","Gray Squirrel",1
"15","15A","11/2/2022","White-tailed Deer",1
"16","15A","11/2/2022","White-tailed Deer",1
"17","15A","11/3/2022","White-tailed Deer",1
"18","15A","11/3/2022","Gray Squirrel",1
"19","15A","11/3/2022","White-tailed Deer",1
"20","15A","11/3/2022","Gray Squirrel",1
"21","15A","11/3/2022","White-tailed Deer",1
"22","15A","11/4/2022","Coyote",1
"23","15A","11/4/2022","White-tailed Deer",1
"24","15A","11/4/2022","White-tailed Deer",1
"25","15A","11/4/2022","White-tailed Deer",1
"26","15A","11/4/2022","White-tailed Deer",1
"27","15A","11/4/2022","White-tailed Deer",1
"28","15A","11/4/2022","White-tailed Deer",1
"29","15A","11/4/2022","White-tailed Deer",1
"30","15A","11/7/2022","White-tailed Deer",1
"31","15A","11/7/2022","White-tailed Deer",1
"32","15A","11/7/2022","White-tailed Deer",1
"33","15A","11/7/2022","White-tailed Deer",1
"34","15A","11/7/2022","White-tailed Deer",1
"35","15A","11/7/2022","White-tailed Deer",1
"36","15A","11/10/2022","Gray Squirrel",1
"37","15A","11/10/2022","Coyote",1
"38","15A","11/11/2022","Gray Squirrel",1
"39","15A","11/11/2022","Gray Squirrel",1
"40","15A","11/12/2022","Person",1
"41","15A","11/14/2022","White-tailed Deer",1
"42","15A","11/16/2022","Gray Squirrel",1
"43","15A","11/18/2022","Gray Squirrel",1
"44","15A","11/18/2022","White-tailed Deer",1
"45","15A","11/19/2022","Gray Squirrel",1
"46","15A","11/22/2022","Gray Squirrel",1
"47","15A","11/22/2022","Gray Squirrel",1
"48","15A","11/24/2022","Coyote",1
"49","15A","11/25/2022","Coyote",1
"50","15A","11/25/2022","Coyote",1
"51","15A","11/26/2022","White-tailed Deer",1
"52","15A","11/26/2022","White-tailed Deer",1
"53","15A","11/28/2022","White-tailed Deer",1
"54","15A","11/29/2022","White-tailed Deer",1
"55","15A","12/1/2022","Gray Squirrel",1
"56","15A","12/1/2022","Gray Squirrel",1
"57","15A","12/1/2022","White-tailed Deer",1
"58","15A","12/1/2022","White-tailed Deer",1
"59","15A","12/2/2022","Coyote",1
"60","15A","12/2/2022","White-tailed Deer",1
"61","15A","12/2/2022","White-tailed Deer",1
"62","15A","12/2/2022","Gray Squirrel",1
"63","15A","12/2/2022","White-tailed Deer",1
"64","15A","12/2/2022","White-tailed Deer",1
"65","15A","12/2/2022","White-tailed Deer",1
"66","15A","12/2/2022","White-tailed Deer",1
"67","15A","12/3/2022","White-tailed Deer",1
"68","15A","12/3/2022","White-tailed Deer",1
"69","15A","12/3/2022","Gray Squirrel",1
"70","15A","12/3/2022","Gray Squirrel",1
"71","15A","12/4/2022","White-tailed Deer",1
"72","15A","12/4/2022","White-tailed Deer",1
"73","15A","12/4/2022","White-tailed Deer",1
"74","15A","12/5/2022","White-tailed Deer",1
"75","15A","12/5/2022","White-tailed Deer",1
"76","15A","12/5/2022","Coyote",1
"77","15A","12/5/2022","White-tailed Deer",1
"78","15A","12/5/2022","White-tailed Deer",1
"79","15A","12/7/2022","White-tailed Deer",1
"80","15A","12/8/2022","White-tailed Deer",1
"81","15A","12/12/2022","Gray Squirrel",1
"82","15A","12/12/2022","White-tailed Deer",1
"83","15A","12/13/2022","White-tailed Deer",1
"84","15A","12/13/2022","White-tailed Deer",1
"85","18A","10/31/2022","Gray Squirrel",1
"86","18A","11/6/2022","Gray Squirrel",1
"87","18A","11/25/2022","White-tailed Deer",1
"88","18A","11/26/2022","Cottontail",1
"89","18A","12/7/2022","Raccoon",1
"90","18A","12/10/2022","Gray Squirrel",1
"91","18A","12/12/2022","Bird",1
"92","194A","10/30/2022","White-tailed Deer",1
"93","194A","11/1/2022","White-tailed Deer",1
"94","194A","11/5/2022","Gray Squirrel",1
"95","194A","11/5/2022","Gray Squirrel",1
"96","194A","11/6/2022","Gray Squirrel",1
"97","194A","11/7/2022","White-tailed Deer",1
"98","194A","11/9/2022","White-tailed Deer",1
"99","194A","11/9/2022","White-tailed Deer",1
"100","194A","11/10/2022","White-tailed Deer",1
"101","194A","11/10/2022","White-tailed Deer",1
"102","194A","11/16/2022","Gray Squirrel",1
"103","194A","11/16/2022","Gray Squirrel",1
"104","194A","12/4/2022","Gray Squirrel",1
"105","194A","12/6/2022","White-tailed Deer",1
"106","194A","12/6/2022","White-tailed Deer",1
"107","195A","10/30/2022","White-tailed Deer",1
"108","195A","11/1/2022","Other",1
"109","195A","11/4/2022","White-tailed Deer",1
"110","195A","11/4/2022","White-tailed Deer",1
"111","195A","11/10/2022","Bird",1
"112","195A","11/16/2022","Gray Squirrel",1
"113","195A","11/25/2022","Grey Fox",1
"114","195A","11/28/2022","Gray Squirrel",1
"115","195A","12/11/2022","Raccoon",1
"116","195A","12/12/2022","Gray Squirrel",1
"117","195A","12/13/2022","White-tailed Deer",1
"118","195A","12/13/2022","White-tailed Deer",1
"119","198A","10/31/2022","White-tailed Deer",1
"120","198A","11/2/2022","Gray Squirrel",1
"121","198A","11/4/2022","White-tailed Deer",1
"122","198A","11/5/2022","Gray Squirrel",1
"123","198A","11/5/2022","Gray Squirrel",1
"124","198A","11/7/2022","White-tailed Deer",1
"125","198A","11/7/2022","White-tailed Deer",1
"126","198A","11/7/2022","White-tailed Deer",1
"127","198A","11/10/2022","White-tailed Deer",1
"128","198A","11/11/2022","White-tailed Deer",1
"129","198A","11/11/2022","Bird",5
"130","198A","11/15/2022","White-tailed Deer",1
"131","198A","11/15/2022","White-tailed Deer",1
"132","198A","11/16/2022","White-tailed Deer",1
"133","198A","11/16/2022","White-tailed Deer",1
"134","198A","11/19/2022","White-tailed Deer",1
"135","198A","11/22/2022","Gray Squirrel",1
"136","198A","11/27/2022","White-tailed Deer",1
"137","198A","12/11/2022","White-tailed Deer",1
"138","198A","12/13/2022","White-tailed Deer",1
"139","198A","12/13/2022","White-tailed Deer",1
"140","199A","10/31/2022","Cottontail",1
"141","199A","10/31/2022","White-tailed Deer",1
"142","199A","11/12/2022","White-tailed Deer",1
"143","199A","11/24/2022","White-tailed Deer",1
"144","199A","11/26/2022","White-tailed Deer",1
"145","199A","12/6/2022","White-tailed Deer",1
"146","199A","12/13/2022","White-tailed Deer",1
"147","1A","10/31/2022","White-tailed Deer",1
"148","1A","11/1/2022","White-tailed Deer",1
"149","1A","11/1/2022","White-tailed Deer",1
"150","1A","11/1/2022","White-tailed Deer",1
"151","1A","11/2/2022","Armadillo",1
"152","1A","11/2/2022","White-tailed Deer",1
"153","1A","11/2/2022","Raccoon",1
"154","1A","11/2/2022","Raccoon",1
"155","1A","11/3/2022","White-tailed Deer",1
"156","1A","11/4/2022","Raccoon",1
"157","1A","11/7/2022","White-tailed Deer",1
"158","1A","11/10/2022","White-tailed Deer",1
"159","1A","11/13/2022","Gray Squirrel",1
"160","1A","11/15/2022","Gray Squirrel",1
"161","1A","11/15/2022","Armadillo",1
"162","1A","11/16/2022","Raccoon",1
"163","1A","11/23/2022","Bird",1
"164","1A","11/28/2022","Gray Squirrel",1
"165","1A","11/29/2022","Grey Fox",1
"166","1A","12/3/2022","Coyote",1
"167","1A","12/4/2022","Gray Squirrel",1
"168","1A","12/5/2022","Unknown",1
"169","1A","12/5/2022","Coyote",1
"170","1A","12/12/2022","Gray Squirrel",1
"171","202A","10/31/2022","Gray Squirrel",1
"172","202A","10/31/2022","White-tailed Deer",1
"173","202A","10/31/2022","White-tailed Deer",1
"174","202A","11/3/2022","Gray Squirrel",1
"175","202A","11/5/2022","White-tailed Deer",1
"176","202A","11/5/2022","White-tailed Deer",1
"177","202A","11/5/2022","White-tailed Deer",1
"178","202A","11/6/2022","White-tailed Deer",1
"179","202A","11/8/2022","Gray Squirrel",1
"180","202A","11/9/2022","Gray Squirrel",1
"181","202A","11/9/2022","White-tailed Deer",1
"182","202A","11/10/2022","White-tailed Deer",1
"183","202A","11/10/2022","White-tailed Deer",1
"184","202A","11/12/2022","White-tailed Deer",1
"185","202A","11/12/2022","White-tailed Deer",1
"186","202A","11/18/2022","White-tailed Deer",1
"187","202A","11/23/2022","White-tailed Deer",1
"188","202A","11/24/2022","White-tailed Deer",1
"189","202A","11/24/2022","White-tailed Deer",1
"190","202A","11/30/2022","White-tailed Deer",1
"191","202A","11/30/2022","White-tailed Deer",1
"192","202A","12/4/2022","Coyote",1
"193","202A","12/5/2022","White-tailed Deer",1
"194","202A","12/7/2022","White-tailed Deer",1
"195","202A","12/8/2022","White-tailed Deer",1
"196","202A","12/8/2022","White-tailed Deer",1
"197","202A","12/8/2022","White-tailed Deer",1
"198","202A","12/12/2022","White-tailed Deer",1
"199","204A","10/31/2022","White-tailed Deer",1
"200","204A","10/31/2022","White-tailed Deer",1
"201","204A","11/1/2022","White-tailed Deer",1
"202","204A","11/2/2022","White-tailed Deer",1
"203","204A","11/2/2022","White-tailed Deer",1
"204","204A","11/8/2022","White-tailed Deer",1
"205","204A","11/8/2022","White-tailed Deer",1
"206","204A","11/10/2022","White-tailed Deer",1
"207","204A","11/10/2022","White-tailed Deer",1
"208","204A","11/12/2022","White-tailed Deer",1
"209","204A","11/19/2022","White-tailed Deer",1
"210","204A","11/19/2022","Coyote",1
"211","204A","11/27/2022","Gray Squirrel",1
"212","204A","11/28/2022","Bird",1
"213","204A","12/7/2022","Gray Squirrel",1
"214","205A","11/30/2022","White-tailed Deer",1
"215","205A","12/2/2022","White-tailed Deer",1
"216","205A","12/2/2022","White-tailed Deer",1
"217","205A","12/3/2022","White-tailed Deer",1
"218","205A","12/3/2022","White-tailed Deer",1
"219","205A","12/4/2022","White-tailed Deer",1
"220","205A","12/5/2022","White-tailed Deer",1
"221","205A","12/5/2022","White-tailed Deer",1
"222","205A","12/8/2022","White-tailed Deer",1
"223","205A","12/10/2022","White-tailed Deer",1
"224","205A","12/11/2022","White-tailed Deer",1
"225","205A","12/11/2022","White-tailed Deer",1
"226","205A","12/13/2022","White-tailed Deer",1
"227","205A","12/15/2022","White-tailed Deer",1
"228","205A","12/15/2022","White-tailed Deer",1
"229","205A","12/16/2022","White-tailed Deer",1
"230","205A","12/16/2022","White-tailed Deer",1
"231","205A","12/24/2022","White-tailed Deer",1
"232","205A","12/27/2022","White-tailed Deer",1
"233","205A","12/27/2022","White-tailed Deer",1
"234","205A","12/29/2022","Grey Fox",1
"235","205A","1/2/2023","White-tailed Deer",1
"236","205A","1/5/2023","Grey Fox",1
"237","205A","1/10/2023","White-tailed Deer",1
"238","205A","1/11/2023","White-tailed Deer",1
"239","205A","1/11/2023","White-tailed Deer",1
"240","205A","1/13/2023","White-tailed Deer",1
"241","206A","10/31/2022","White-tailed Deer",1
"242","206A","11/4/2022","White-tailed Deer",1
"243","206A","11/4/2022","White-tailed Deer",1
"244","206A","11/4/2022","White-tailed Deer",1
"245","206A","11/11/2022","Armadillo",1
"246","206A","11/23/2022","White-tailed Deer",1
"247","206A","11/25/2022","Gray Squirrel",1
"248","206A","11/28/2022","Coyote",1
"249","206A","12/3/2022","Gray Squirrel",1
"250","206A","12/5/2022","Gray Squirrel",1
"251","206A","12/6/2022","White-tailed Deer",1
"252","206A","12/9/2022","Gray Squirrel",1
"253","206A","12/12/2022","White-tailed Deer",1
"254","206A","12/13/2022","White-tailed Deer",1
"255","206A","12/13/2022","White-tailed Deer",1
"256","206A","12/13/2022","Armadillo",1
"257","209A","11/1/2022","White-tailed Deer",1
"258","209A","11/1/2022","White-tailed Deer",1
"259","209A","11/1/2022","White-tailed Deer",1
"260","209A","11/1/2022","Gray Squirrel",1
"261","209A","11/1/2022","Gray Squirrel",1
"262","209A","11/1/2022","White-tailed Deer",1
"263","209A","11/1/2022","White-tailed Deer",1
"264","209A","11/2/2022","White-tailed Deer",1
"265","209A","11/3/2022","White-tailed Deer",1
"266","209A","11/4/2022","Grey Fox",1
"267","209A","11/6/2022","Gray Squirrel",1
"268","209A","11/6/2022","White-tailed Deer",1
"269","209A","11/7/2022","White-tailed Deer",1
"270","209A","11/7/2022","Gray Squirrel",1
"271","209A","11/8/2022","White-tailed Deer",1
"272","209A","11/10/2022","Grey Fox",1
"273","209A","11/12/2022","Grey Fox",1
"274","209A","11/13/2022","White-tailed Deer",1
"275","209A","11/13/2022","White-tailed Deer",1
"276","209A","11/13/2022","White-tailed Deer",1
"277","209A","11/14/2022","Gray Squirrel",1
"278","209A","11/16/2022","Raccoon",1
"279","209A","11/16/2022","Gray Squirrel",1
"280","209A","11/21/2022","Grey Fox",1
"281","209A","11/27/2022","Person",1
"282","209A","11/30/2022","Coyote",1
"283","209A","12/1/2022","Grey Fox",1
"284","209A","12/6/2022","White-tailed Deer",1
"285","209A","12/9/2022","Grey Fox",1
"286","209A","12/9/2022","Grey Fox",1
"287","209A","12/9/2022","Grey Fox",1
"288","209A","12/10/2022","Gray Squirrel",1
"289","209A","12/11/2022","Grey Fox",1
"290","209A","12/12/2022","Gray Squirrel",1
"291","209A","12/12/2022","Bird",1
"292","20A","11/1/2022","White-tailed Deer",1
"293","20A","11/1/2022","White-tailed Deer",1
"294","20A","11/1/2022","White-tailed Deer",1
"295","20A","11/2/2022","White-tailed Deer",1
"296","20A","11/5/2022","White-tailed Deer",1
"297","20A","11/7/2022","White-tailed Deer",1
"298","20A","11/7/2022","Coyote",1
"299","20A","11/11/2022","White-tailed Deer",1
"300","20A","11/11/2022","Coyote",1
"301","20A","11/14/2022","White-tailed Deer",1
"302","20A","11/15/2022","White-tailed Deer",1
"303","20A","11/15/2022","White-tailed Deer",1
"304","20A","11/15/2022","White-tailed Deer",1
"305","20A","11/15/2022","Bird",8
"306","20A","11/16/2022","Bird",3
"307","20A","11/16/2022","Bird",6
"308","20A","11/16/2022","Bird",1
"309","20A","11/16/2022","Bird",1
"310","20A","11/16/2022","Grey Fox",1
"311","20A","11/16/2022","Bird",1
"312","20A","11/16/2022","Bird",1
"313","20A","11/20/2022","Grey Fox",1
"314","20A","11/20/2022","White-tailed Deer",1
"315","20A","11/25/2022","Bird",6
"316","20A","11/25/2022","Grey Fox",1
"317","20A","11/25/2022","Grey Fox",1
"318","20A","11/28/2022","Grey Fox",1
"319","20A","12/4/2022","Grey Fox",1
"320","20A","12/12/2022","White-tailed Deer",1
"321","20A","12/12/2022","Gray Squirrel",1
"322","20A","12/13/2022","Bird",1
"323","20A","12/13/2022","Bird",5
"324","210A","10/31/2022","White-tailed Deer",1
"325","210A","10/31/2022","White-tailed Deer",1
"326","210A","10/31/2022","White-tailed Deer",1
"327","210A","11/2/2022","White-tailed Deer",1
"328","210A","11/4/2022","White-tailed Deer",1
"329","210A","11/6/2022","White-tailed Deer",1
"330","210A","11/6/2022","White-tailed Deer",1
"331","210A","11/10/2022","White-tailed Deer",1
"332","210A","11/16/2022","White-tailed Deer",1
"333","210A","11/25/2022","White-tailed Deer",1
"334","210A","12/6/2022","Coyote",1
"335","214A","10/31/2022","White-tailed Deer",1
"336","214A","10/31/2022","White-tailed Deer",1
"337","214A","10/31/2022","White-tailed Deer",1
"338","214A","10/31/2022","White-tailed Deer",1
"339","214A","10/31/2022","White-tailed Deer",1
"340","214A","11/4/2022","White-tailed Deer",1
"341","214A","11/22/2022","Bird",1
"342","214A","12/1/2022","White-tailed Deer",1
"343","214A","12/10/2022","Raccoon",1
"344","219A","10/30/2022","White-tailed Deer",1
"345","219A","10/30/2022","White-tailed Deer",1
"346","219A","10/30/2022","White-tailed Deer",1
"347","219A","10/31/2022","White-tailed Deer",1
"348","219A","10/31/2022","White-tailed Deer",1
"349","219A","11/1/2022","White-tailed Deer",1
"350","219A","11/3/2022","White-tailed Deer",1
"351","219A","11/4/2022","Bird",1
"352","219A","11/4/2022","Bird",1
"353","219A","11/4/2022","White-tailed Deer",1
"354","219A","11/4/2022","White-tailed Deer",1
"355","219A","11/5/2022","White-tailed Deer",1
"356","219A","11/6/2022","White-tailed Deer",1
"357","219A","11/9/2022","Bird",1
"358","219A","11/9/2022","Gray Squirrel",1
"359","219A","11/9/2022","White-tailed Deer",1
"360","219A","11/9/2022","White-tailed Deer",1
"361","219A","11/10/2022","White-tailed Deer",1
"362","219A","11/10/2022","White-tailed Deer",1
"363","219A","11/10/2022","Gray Squirrel",1
"364","219A","11/11/2022","White-tailed Deer",1
"365","219A","11/11/2022","White-tailed Deer",1
"366","219A","11/13/2022","Coyote",1
"367","219A","11/13/2022","White-tailed Deer",1
"368","219A","11/15/2022","White-tailed Deer",1
"369","219A","11/15/2022","White-tailed Deer",1
"370","219A","11/17/2022","Other",1
"371","219A","11/21/2022","White-tailed Deer",1
"372","219A","11/24/2022","White-tailed Deer",1
"373","219A","11/24/2022","Wild Hog",1
"374","219A","11/24/2022","Wild Hog",2
"375","219A","11/24/2022","Wild Hog",1
"376","219A","11/27/2022","Coyote",1
"377","219A","11/28/2022","Gray Squirrel",1
"378","219A","12/4/2022","Gray Squirrel",1
"379","219A","12/5/2022","Gray Squirrel",1
"380","219A","12/6/2022","Bobcat",1
"381","222A","10/30/2022","White-tailed Deer",1
"382","222A","11/7/2022","White-tailed Deer",1
"383","222A","11/7/2022","Coyote",1
"384","222A","11/7/2022","White-tailed Deer",1
"385","222A","12/1/2022","White-tailed Deer",1
"386","222A","12/1/2022","Coyote",1
"387","222A","12/13/2022","White-tailed Deer",1
"388","227A","10/31/2022","White-tailed Deer",1
"389","227A","11/4/2022","White-tailed Deer",1
"390","227A","11/7/2022","White-tailed Deer",1
"391","227A","11/15/2022","White-tailed Deer",1
"392","227A","11/16/2022","White-tailed Deer",1
"393","227A","11/16/2022","White-tailed Deer",1
"394","227A","12/1/2022","White-tailed Deer",1
"395","227A","12/13/2022","White-tailed Deer",1
"396","27A","10/30/2022","White-tailed Deer",1
"397","27A","10/30/2022","White-tailed Deer",1
"398","27A","10/31/2022","White-tailed Deer",1
"399","27A","10/31/2022","Gray Squirrel",1
"400","27A","10/31/2022","Gray Squirrel",1
"401","27A","11/2/2022","White-tailed Deer",1
"402","27A","11/3/2022","White-tailed Deer",1
"403","27A","11/4/2022","White-tailed Deer",1
"404","27A","11/5/2022","Gray Squirrel",1
"405","27A","11/6/2022","Gray Squirrel",1
"406","27A","11/9/2022","White-tailed Deer",1
"407","27A","11/9/2022","White-tailed Deer",1
"408","27A","11/10/2022","Gray Squirrel",1
"409","27A","11/10/2022","White-tailed Deer",1
"410","27A","11/12/2022","White-tailed Deer",1
"411","27A","11/13/2022","White-tailed Deer",1
"412","27A","11/14/2022","Gray Squirrel",1
"413","27A","11/15/2022","White-tailed Deer",1
"414","27A","11/16/2022","Gray Squirrel",1
"415","27A","11/16/2022","Gray Squirrel",1
"416","27A","11/17/2022","Gray Squirrel",1
"417","27A","11/17/2022","Gray Squirrel",1
"418","27A","11/18/2022","Gray Squirrel",1
"419","27A","11/18/2022","Gray Squirrel",1
"420","27A","11/21/2022","Gray Squirrel",1
"421","27A","11/21/2022","Gray Squirrel",1
"422","27A","11/22/2022","Gray Squirrel",1
"423","27A","11/23/2022","Gray Squirrel",1
"424","27A","11/26/2022","White-tailed Deer",1
"425","27A","11/26/2022","White-tailed Deer",1
"426","27A","11/29/2022","White-tailed Deer",1
"427","27A","11/29/2022","Gray Squirrel",1
"428","27A","11/30/2022","White-tailed Deer",1
"429","27A","12/1/2022","Gray Squirrel",1
"430","27A","12/2/2022","Grey Fox",1
"431","27A","12/3/2022","White-tailed Deer",1
"432","27A","12/3/2022","Gray Squirrel",1
"433","27A","12/3/2022","Gray Squirrel",1
"434","27A","12/6/2022","White-tailed Deer",1
